;WEEK_PRI;YEAR_PRI;SOROTIPO;CASES
0;01;2007; ;28
1;01;2007;3;1
2;01;2008; ;550
3;01;2008;2;1
4;01;2009; ;23
5;01;2010; ;11
6;01;2011; ;224
7;01;2011;1;1
8;01;2012; ;418
9;01;2012;1;1
10;01;2012;4;1
11;01;2013; ;147
12;01;2014; ;26
13;01;2015; ;12
14;01;2015;1;2
15;01;2016; ;85
16;01;2017; ;136
17;01;2017;4;7
18;01;2018; ;62
19;01;2019; ;147
20;01;2020; ;59
21;01;2021; ;6
22;01;2022; ;9
23;01;2023; ;86
24;01;2023;1;13
25;01;2023;2;4
26;02;2007; ;44
27;02;2007;3;3
28;02;2008; ;734
29;02;2008;2;2
30;02;2008;3;1
31;02;2009; ;43
32;02;2010; ;13
33;02;2011; ;291
34;02;2011;1;2
35;02;2012; ;301
36;02;2012;1;3
37;02;2012;4;4
38;02;2013; ;220
39;02;2013;4;5
40;02;2014; ;34
41;02;2014;4;1
42;02;2015; ;7
43;02;2016; ;57
44;02;2016;4;1
45;02;2017; ;165
46;02;2017;2;2
47;02;2017;4;6
48;02;2018; ;76
49;02;2019; ;126
50;02;2020; ;78
51;02;2021; ;6
52;02;2022; ;8
53;02;2023; ;65
54;02;2023;1;13
55;02;2023;2;1
56;03;2007; ;61
57;03;2007;3;5
58;03;2008; ;944
59;03;2009; ;33
60;03;2010; ;15
61;03;2011; ;288
62;03;2011;1;2
63;03;2012; ;278
64;03;2012;1;3
65;03;2012;4;8
66;03;2013; ;222
67;03;2013;1;1
68;03;2014; ;29
69;03;2015; ;15
70;03;2016; ;75
71;03;2017; ;159
72;03;2017;4;4
73;03;2018; ;97
74;03;2019; ;152
75;03;2020; ;63
76;03;2021; ;6
77;03;2022; ;9
78;03;2023; ;92
79;03;2023;1;22
80;03;2023;2;1
81;04;2007; ;91
82;04;2008; ;942
83;04;2008;2;5
84;04;2009; ;42
85;04;2010; ;18
86;04;2011; ;504
87;04;2011;1;9
88;04;2012; ;285
89;04;2012;1;2
90;04;2012;4;12
91;04;2013; ;262
92;04;2013;4;5
93;04;2014; ;29
94;04;2014;4;1
95;04;2015; ;17
96;04;2016; ;56
97;04;2017; ;185
98;04;2017;2;1
99;04;2017;4;7
100;04;2018; ;73
101;04;2019; ;143
102;04;2020; ;52
103;04;2021; ;19
104;04;2022; ;5
105;04;2023; ;99
106;04;2023;1;24
107;04;2023;2;10
108;05;2007; ;138
109;05;2008; ;663
110;05;2008;2;1
111;05;2009; ;69
112;05;2010; ;25
113;05;2011; ;793
114;05;2011;1;4
115;05;2012; ;303
116;05;2012;1;2
117;05;2012;4;11
118;05;2013; ;333
119;05;2014; ;23
120;05;2015; ;20
121;05;2015;1;1
122;05;2016; ;59
123;05;2017; ;165
124;05;2018; ;81
125;05;2019; ;122
126;05;2020; ;52
127;05;2020;2;1
128;05;2021; ;16
129;05;2021;2;1
130;05;2022; ;16
131;05;2022;1;1
132;05;2022;2;4
133;05;2023; ;130
134;05;2023;1;45
135;05;2023;2;5
136;06;2007; ;155
137;06;2008; ;824
138;06;2008;2;4
139;06;2008;3;2
140;06;2009; ;65
141;06;2010; ;20
142;06;2011; ;1207
143;06;2011;1;1
144;06;2012; ;331
145;06;2012;1;7
146;06;2012;4;23
147;06;2013; ;294
148;06;2013;4;2
149;06;2014; ;24
150;06;2015; ;16
151;06;2015;4;1
152;06;2016; ;96
153;06;2017; ;165
154;06;2017;4;1
155;06;2018; ;58
156;06;2019; ;114
157;06;2020; ;41
158;06;2021; ;13
159;06;2022; ;20
160;06;2022;1;2
161;06;2022;2;1
162;06;2023; ;196
163;06;2023;1;57
164;06;2023;2;12
165;07;2001; ;2
166;07;2007; ;149
167;07;2008; ;1083
168;07;2008;2;5
169;07;2008;3;2
170;07;2009; ;31
171;07;2010; ;29
172;07;2011; ;1582
173;07;2011;1;5
174;07;2011;2;2
175;07;2012; ;395
176;07;2012;1;2
177;07;2012;3;1
178;07;2012;4;32
179;07;2013; ;450
180;07;2013;4;10
181;07;2014; ;22
182;07;2014;1;2
183;07;2014;4;1
184;07;2015; ;21
185;07;2015;1;1
186;07;2016; ;112
187;07;2016;1;3
188;07;2017; ;170
189;07;2017;2;1
190;07;2018; ;59
191;07;2018;4;1
192;07;2019; ;124
193;07;2020; ;53
194;07;2021; ;13
195;07;2022; ;14
196;07;2022;1;2
197;07;2023; ;124
198;07;2023;1;33
199;07;2023;2;10
200;08;2005; ;1
201;08;2006; ;1
202;08;2007; ;152
203;08;2008; ;1407
204;08;2008;2;5
205;08;2009; ;18
206;08;2010; ;29
207;08;2010;2;1
208;08;2011; ;1786
209;08;2011;1;3
210;08;2011;2;1
211;08;2012; ;516
212;08;2012;1;3
213;08;2012;4;21
214;08;2013; ;779
215;08;2013;4;15
216;08;2014; ;24
217;08;2015; ;40
218;08;2015;1;1
219;08;2016; ;87
220;08;2016;1;4
221;08;2017; ;89
222;08;2018; ;86
223;08;2018;1;1
224;08;2019; ;125
225;08;2020; ;44
226;08;2021; ;21
227;08;2022; ;29
228;08;2022;1;1
229;08;2022;2;2
230;08;2023; ;161
231;08;2023;1;40
232;08;2023;2;2
233;09;2007; ;199
234;09;2007;3;1
235;09;2008; ;1746
236;09;2008;2;5
237;09;2009; ;28
238;09;2010; ;33
239;09;2011; ;1639
240;09;2011;1;7
241;09;2011;3;1
242;09;2012; ;689
243;09;2012;1;1
244;09;2012;4;36
245;09;2013; ;1392
246;09;2013;4;21
247;09;2014; ;11
248;09;2015; ;60
249;09;2016; ;126
250;09;2017; ;93
251;09;2018; ;82
252;09;2018;4;1
253;09;2019; ;107
254;09;2020; ;39
255;09;2020;2;1
256;09;2021; ;13
257;09;2022; ;27
258;09;2022;2;6
259;09;2023; ;305
260;09;2023;1;104
261;09;2023;2;10
262;10;2005; ;1
263;10;2007; ;223
264;10;2007;3;2
265;10;2008; ;2292
266;10;2008;2;9
267;10;2008;3;1
268;10;2009; ;21
269;10;2010; ;28
270;10;2010;2;1
271;10;2011; ;1753
272;10;2011;1;3
273;10;2012; ;928
274;10;2012;1;2
275;10;2012;4;36
276;10;2013; ;2014
277;10;2013;4;11
278;10;2014; ;10
279;10;2015; ;69
280;10;2015;1;3
281;10;2016; ;118
282;10;2016;1;1
283;10;2017; ;91
284;10;2018; ;134
285;10;2019; ;157
286;10;2020; ;49
287;10;2021; ;20
288;10;2022; ;43
289;10;2022;1;3
